,0,1,2,3,4,5,6,7,8,9,label
1412,1,0,0.07795699,0.02753471,0.032240244,0.085462104,0.02850203,0.038252258,0.050171989,0.034758941,0
1420,1,0,0.077991359,0.027538106,0.032244554,0.085470209,0.028505786,0.038311832,0.050179036,0.03482033,0
1433,1,0,0.078313652,0.027719746,0.032410432,0.085932261,0.02865495,0.038430868,0.050399376,0.039243945,0
1456,1,0,0.078521037,0.027733607,0.032475186,0.086088501,0.035357885,0.038528643,0.050534872,0.035583414,0
1461,1,0,0.077985551,0.027544547,0.032252081,0.085549392,0.028819843,0.038265992,0.050190381,0.034775178,0
1462,1,0,0.118264191,0.042051196,0.049120434,0.134898292,0.079843189,0.178703052,0.076102038,0.406731259,0
1466,1,0,0.07795843,0.027534402,0.032240213,0.085458395,0.028502004,0.038251958,0.05017235,0.03476006,0
1468,1,0,0.079885956,0.027147836,0.03432891,0.087807273,0.059580422,0.038471171,0.050650117,0.04260523,0
1474,1,0,0.078014367,0.027554913,0.03226398,0.085523341,0.028546248,0.038280112,0.050208899,0.035498769,0
1485,1,0,0.077960345,0.027535623,0.032241634,0.085462133,0.028549914,0.038253608,0.050174154,0.034761138,0
1492,1,0,0.077962744,0.027536199,0.032242321,0.085464244,0.028538282,0.038254457,0.050175217,0.034794011,0
1497,1,0,0.078011698,0.027553751,0.032262859,0.085521885,0.029220896,0.038278789,0.050207217,0.03478686,0
1510,1,0,0.078074902,0.027586412,0.032288852,0.086904981,0.028729672,0.038309774,0.050247817,0.034815511,0
1522,1,0,0.077963694,0.027536179,0.032242276,0.085465675,0.028517687,0.03825477,0.050175125,0.034809908,0
1547,1,0,0.07798532,0.027544441,0.03225196,0.085489791,0.02851238,0.038573842,0.050190222,0.034831219,0
1548,1,0,0.077957699,0.027534676,0.032240547,0.085459327,0.028515328,0.03825231,0.050172434,0.034759404,0
1565,1,0,0.077992118,0.027546762,0.032254686,0.085498379,0.028515009,0.038269093,0.050209783,0.035208796,0
1570,1,0,0.077958032,0.027534719,0.03224059,0.085460066,0.028502906,0.038264102,0.050173153,0.034761189,0
1611,1,0,0.078728581,0.028072419,0.032559145,0.086398157,0.028795702,0.038631594,0.05066834,0.044629959,0
1625,1,0,0.077958145,0.027534929,0.032240663,0.085460374,0.028521302,0.038252489,0.050172701,0.034759767,0
1633,1,0,0.077957054,0.027534445,0.032240263,0.085458467,0.028506918,0.03825198,0.050172007,0.034758485,0
1640,1,0,0.07795711,0.02753446,0.032240283,0.085458536,0.028502059,0.03825202,0.050172049,0.034764114,0
1641,1,0,0.077963406,0.027535505,0.032241501,0.085461824,0.028518972,0.038253445,0.050173954,0.034784023,0
1644,1,0,0.079830632,0.028198221,0.03301411,0.087520166,0.029283672,0.039191022,0.051376259,0.059466348,0
1651,1,0,0.079983691,0.028249499,0.033077549,0.087699073,0.055193011,0.039245379,0.051475176,0.03566452,0
1660,1,0,0.078009832,0.027547991,0.032255485,0.085499019,0.028516805,0.038409857,0.0501957,0.035094577,0
1690,1,0,0.077959146,0.027535201,0.032241141,0.085461071,0.028529891,0.03825303,0.05017339,0.034764305,0
1699,1,0,0.080903805,0.028512315,0.033389137,0.08848948,0.029512328,0.056763127,0.052009189,0.054057154,0
1700,1,0,0.077979252,0.027542539,0.032249473,0.085485188,0.028661652,0.038262895,0.050186321,0.034904556,0
1701,1,0,0.080017013,0.028360075,0.033091157,0.087761567,0.029284506,0.039261694,0.051496228,0.06189358,0
1703,1,0,0.078076771,0.027566483,0.032277497,0.085872342,0.029141408,0.038296631,0.050232096,0.035003702,0
1706,1,0,0.097705974,0.034507278,0.195318492,0.10805887,0.13297784,0.047954295,0.062884882,0.043690241,0
1708,1,0,0.077962945,0.027536444,0.032242603,0.085464699,0.028506215,0.038255791,0.050175647,0.03483506,0
1722,1,0,0.080694183,0.028501221,0.033372243,0.08846686,0.030822865,0.039595031,0.051934195,0.069766516,0
1726,1,0,0.078718918,0.02755549,0.032297496,0.085616929,0.030002303,0.038330396,0.050245171,0.034954055,0
